EC Number,Galaxy107-[Prokka on data 96_ tbl].txt,Galaxy108-[Prokka on data 97_ tbl].txt,Galaxy126-[Prokka on data 115_ tbl].txt,Galaxy131-[Prokka on data 120_ tbl].txt,Galaxy146-[Prokka on data 135_ tbl].txt,Galaxy157-[Prokka on data 146_ tbl].txt,Galaxy172-[Prokka on data 161_ tbl].txt,Galaxy177-[Prokka on data 166_ tbl].txt,Galaxy18-[Prokka on data 7_ tbl].txt,Galaxy197-[Prokka on data 186_ tbl].txt,Galaxy198-[Prokka on data 187_ tbl].txt,Galaxy201-[Prokka on data 190_ tbl].txt,Galaxy24-[Prokka on data 13_ tbl].txt,Galaxy241-[Prokka on data 230_ tbl].txt,Galaxy261-[Prokka on data 254_ tbl].txt,Galaxy28-[Prokka on data 17_ tbl].txt,Galaxy281-[Prokka on data 270_ tbl].txt,Galaxy289-[Prokka on data 278_ tbl].txt,Galaxy301-[Prokka on data 290_ tbl].txt,Galaxy309-[Prokka on data 298_ tbl].txt,Galaxy321-[Prokka on data 310_ tbl].txt,Galaxy345-[Prokka on data 334_ tbl].txt,Galaxy361-[Prokka on data 350_ tbl].txt,Galaxy393-[Prokka on data 382_ tbl].txt,Galaxy405-[Prokka on data 394_ tbl].txt,Galaxy417-[Prokka on data 406_ tbl].txt,Galaxy425-[Prokka on data 414_ tbl].txt,Galaxy44-[Prokka on data 33_ tbl].txt,Galaxy445-[Prokka on data 434_ tbl].txt,Galaxy465-[Prokka on data 454_ tbl].txt,Galaxy485-[Prokka on data 474_ tbl].txt,Galaxy505-[Prokka on data 494_ tbl].txt,Galaxy525-[Prokka on data 514_ tbl].txt,Galaxy53-[Prokka on data 42_ tbl].txt,Galaxy545-[Prokka on data 534_ tbl].txt,Galaxy565-[Prokka on data 554_ tbl].txt,Galaxy585-[Prokka on data 574_ tbl].txt,Galaxy605-[Prokka on data 594_ tbl].txt,Galaxy62-[Prokka on data 51_ tbl].txt,Galaxy645-[Prokka on data 634_ tbl].txt,Galaxy669-[Prokka on data 658_ tbl].txt,Galaxy73-[Prokka on data 62_ tbl].txt,Galaxy86-[Prokka on data 75_ tbl].txt,Galaxy87-[Prokka on data 76_ tbl].txt
1.1.1.311,0.975945,3.5079200000000004,0.0,0.86262,0.971326,0.0,0.67052,1.4664,0.93007,0.0,0.0,2.475289,1.707886,0.0,0.916955,3.3189819999999997,4.264405,0.0,0.0,1.9643089999999999,0.81761,0.0,0.0,0.850746,0.949861,0.0,0.0,0.870206,1.17857,0.0,0.0,0.0,1.9963090000000001,0.924812,0.985663,0.0,0.0,0.0,0.902141,0.766187,0.862162,0.855856,0.0,0.0
3.1.1.29,1.4871910000000002,6.7048380000000005,0.0,2.622366,1.64085,0.0,2.645549,2.635121,4.307478000000001,1.794501,0.879195,3.686,3.075661,2.683202,1.578936,4.369037,4.973539000000001,5.501996,3.403452,5.517006,1.278758,4.3233299999999995,1.413237,5.879504,2.462124,1.682503,5.385227,4.773820000000001,0.809942,3.4551040000000004,4.609753,1.70886,0.782748,2.7498129999999996,0.835294,1.767193,3.643579,0.817439,2.3905700000000003,0.902527,4.9416839999999995,3.142188,1.15058,2.5086749999999998
3.5.3.17,0.0,2.555689,0.0,0.0,0.0,0.789366,0.925,0.0,0.0,0.0,0.0,2.53682,0.0,0.0,0.0,2.058725,0.0,1.07483,0.0,0.802326,0.0,0.0,0.899281,0.0,2.16119,0.0,0.861538,0.0,0.0,1.09615,0.0,0.0,1.563511,0.0,0.0,0.0,0.0,0.0,0.656357,0.841155,0.934066,0.0,0.843243,0.0
2.1.2.5,0.836461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901235,0.0,1.13995,0.0,0.0,0.0,1.9884979999999999,0.744186,0.0,0.0,0.0,0.0,0.0,0.0,0.927673,0.0,0.0,0.0,0.0,1.696188,0.92963,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.15217,0.0,0.0,0.0,0.0
4.1.1.-,1.667522,4.175367,1.669115,3.669914,0.853821,1.698686,8.746629,1.67888,0.0,2.687673,3.8538900000000003,5.179934,0.904025,0.857708,1.06167,6.578467999999999,0.852507,1.7952439999999998,3.3230080000000006,0.888889,1.454817,4.503938,1.774894,5.62462,1.8556979999999998,1.01016,3.602709,2.8640980000000003,0.916399,8.391654,1.6832699999999998,1.664711,3.718197,1.8954849999999999,2.708706,0.0,3.7710790000000003,0.839888,9.925872000000002,0.916667,3.6860489999999997,5.1574469999999994,2.025678,0.920152
2.8.1.7,3.364185,6.0198149999999995,2.514208,5.309619,7.593675000000001,4.169157,12.726068999999999,5.303947000000001,2.687302,5.448199,9.387018999999999,4.182955,11.923396999999998,8.800253,6.227769,5.5206159999999995,9.152021999999999,6.592296,6.729734,20.433358,5.1011180000000005,10.235643000000001,6.0885739999999995,11.205305000000001,5.315746000000001,2.705585,6.780631,8.905621,5.362623,11.097624000000001,5.348534000000001,5.893089000000001,3.605284,2.866034,3.4456550000000004,6.316431,8.374255,2.674324,11.141803999999999,1.6590449999999999,4.48334,19.295338999999995,7.787242,2.624142
1.2.1.72,0.0,1.14754,0.0,0.0,0.941781,0.0,0.0,1.06115,1.772694,0.531034,0.854167,0.0,0.0,1.22846,0.0,0.0,2.418139,0.0,1.03137,3.2421439999999997,0.917293,1.01471,0.936396,0.0,1.03409,0.536145,0.0,0.0,0.0,0.0,0.0,0.807143,0.0,0.0,0.0,0.935065,0.877888,0.0,0.0,1.05435,0.0,2.639632,0.0,0.0
1.14.13.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.821918,0.0,1.06615,0.0,0.0,0.0,2.068296,0.0,0.0,0.962406,0.0,0.0,0.0,0.0,0.0,2.09192,0.0,0.0,0.65252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876812,0.0,0.0,0.0,0.0
4.2.1.132,0.0,0.0,0.0,0.0,0.0,1.11673,0.0,0.0,0.0,0.0,0.0,0.0,0.779762,0.0,0.0,0.866667,1.10924,0.0,0.0,0.0,0.0,1.388601,1.663306,0.0,0.747801,0.0,0.0,1.09811,0.0,0.0,0.0,0.833948,0.0,1.01449,0.0,0.0,0.779944,0.0,0.870968,0.934545,0.584906,1.2782,0.0,0.0
1.14.-.-,7.337109,3.7764999999999995,3.537629,7.4389270000000005,5.402446,3.430227,10.212169,1.808576,3.342055,0.835227,3.4738759999999997,8.555524000000002,30.320690999999997,2.4348910000000004,3.7665310000000005,13.697645000000001,12.506078999999998,9.421418,6.665731,22.628418000000007,3.2842729999999998,4.890376,3.8337719999999997,14.386154000000001,9.23202,2.493195,4.505807,6.650116000000001,4.664917,4.920068,6.94671,0.791005,9.182937999999998,3.589352,3.465895,4.289932,8.231569,1.804628,7.0153300000000005,1.673689,3.6800690000000005,64.93679800000001,4.3936150000000005,2.651669
